                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     66,                 1.2462,                0.71543,                 1.0005,                0.93786,                 0.8828,                0.92241,                0.63363,                 1.2673,                0.63972,                0.98921,               0.003565,               0.003565,               0.003565
                     67,                   1.24,                0.70556,                 0.9969,                0.93698,                0.88508,                0.92335,                0.63464,                 1.2668,                0.63708,                0.98893,               0.003466,               0.003466,               0.003466
                     68,                 1.2347,                0.70395,                0.99315,                0.93716,                0.88649,                0.92348,                0.63533,                 1.2633,                0.63644,                0.98778,               0.003367,               0.003367,               0.003367
                     69,                 1.2301,                0.69821,                0.99333,                0.93702,                0.88431,                0.92294,                0.63605,                 1.2626,                0.63397,                0.98642,               0.003268,               0.003268,               0.003268
                     70,                 1.2167,                0.69407,                0.98845,                0.93843,                0.88383,                0.92357,                0.63686,                 1.2616,                0.62985,                0.98559,               0.003169,               0.003169,               0.003169
                     71,                 1.2192,                0.69106,                 0.9874,                0.93697,                0.88551,                0.92398,                 0.6376,                 1.2547,                0.63338,                0.98636,                0.00307,                0.00307,                0.00307
                     72,                 1.2033,                 0.6827,                0.98328,                0.93873,                 0.8843,                0.92394,                0.63796,                 1.2507,                0.63443,                0.98654,               0.002971,               0.002971,               0.002971
                     73,                 1.1959,                0.67665,                0.98405,                0.93989,                0.88414,                0.92378,                0.64014,                 1.2501,                0.63233,                0.98611,               0.002872,               0.002872,               0.002872
                     74,                 1.1857,                0.67457,                0.97997,                0.93796,                0.88731,                0.92434,                0.64028,                 1.2499,                0.63081,                  0.986,               0.002773,               0.002773,               0.002773
                     75,                 1.1874,                0.67417,                0.97975,                0.93864,                0.88663,                0.92425,                  0.641,                 1.2507,                0.63094,                0.98671,               0.002674,               0.002674,               0.002674
                     76,                 1.1749,                0.66515,                0.97463,                 0.9383,                0.88748,                0.92437,                0.64156,                 1.2514,                   0.63,                0.98668,               0.002575,               0.002575,               0.002575
                     77,                 1.1696,                0.65896,                0.97369,                0.93769,                0.88776,                0.92469,                0.64246,                 1.2513,                0.62825,                0.98677,               0.002476,               0.002476,               0.002476
